City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Kaputa,ZM,2022-07-22 20:16:57,-8.4689,29.6619,71.67,47,64,3.33
168,Camacha,PT,2022-07-22 20:16:58,33.0833,-16.3333,67.42,73,75,12.66
169,Amarante Do Maranhao,BR,2022-07-22 20:16:58,-5.5667,-46.7422,92.16,26,100,4.94
170,Raudeberg,NO,2022-07-22 20:16:58,61.9875,5.1352,59.67,84,71,24.54
171,Koutiala,ML,2022-07-22 20:16:59,12.3917,-5.4642,82.04,68,97,7.67
172,Asosa,ET,2022-07-22 20:16:59,10.0667,34.5333,61.12,92,100,2.77
173,Chateau-Thierry,FR,2022-07-22 20:16:59,49.05,3.4,69.22,69,100,5.44
174,Hvide Sande,DK,2022-07-22 20:16:59,56.0045,8.1294,59.09,80,100,19.17
175,Leh,IN,2022-07-22 20:15:09,34.1667,77.5833,70.32,19,96,6.33
176,Roald,NO,2022-07-22 20:16:20,62.5833,6.1333,59.9,82,40,16.11
177,Axim,GH,2022-07-22 20:17:00,4.8699,-2.2405,75.47,75,99,7.52
178,Nisia Floresta,BR,2022-07-22 20:17:00,-6.0911,-35.2086,80.98,86,100,12.33
179,San Juan,AR,2022-07-22 20:12:34,-31.5375,-68.5364,68.9,19,4,6.24
180,Porto Santo,PT,2022-07-22 20:17:00,33.072,-16.3415,70.18,73,75,12.66
181,Serenje,ZM,2022-07-22 20:17:01,-13.2325,30.2352,58.28,59,39,8.32
182,Olean,US,2022-07-22 20:13:54,42.0776,-78.4297,86.68,65,75,3.44
183,Maykor,RU,2022-07-22 20:17:01,59.0059,55.88,62.04,83,84,4.72
184,Puerto Baquerizo Moreno,EC,2022-07-22 20:17:02,-0.9,-89.6,76.19,65,40,5.75
185,Veraval,IN,2022-07-22 20:16:46,20.9,70.3667,80.49,85,96,17.65
186,Pangody,RU,2022-07-22 20:17:02,65.85,74.4859,45.77,90,100,3.49
187,Zaozerne,UA,2022-07-22 20:12:21,45.1582,33.2787,73.02,69,0,16.02
188,Bingol,TR,2022-07-22 20:17:02,38.8847,40.4939,68.76,45,0,7.07
189,Georgetown,MY,2022-07-22 20:12:50,5.4112,100.3354,78.73,92,20,3.44
190,Goderich,CA,2022-07-22 20:17:03,43.7501,-81.7165,80.92,57,0,6.91
191,Bambous Virieux,MU,2022-07-22 20:17:03,-20.3428,57.7575,70.05,83,75,17.27
192,Ascension,US,2022-07-22 20:17:03,30.2169,-90.9001,91.99,73,40,5.75
193,General Artigas,PY,2022-07-22 20:17:04,-26.9333,-56.2167,77.32,68,95,3.83
194,Colares,PT,2022-07-22 20:17:04,38.7992,-9.4469,74.88,70,20,18.41
195,Kincardine,GB,2022-07-22 20:17:04,56.0667,-3.7167,60.98,93,100,5.1
196,Abu Samrah,SY,2022-07-22 20:17:05,35.3029,37.1841,79.3,45,0,9.86
197,Buritis,BR,2022-07-22 20:17:05,-15.6178,-46.4233,83.66,26,0,6.55
198,Yanam,IN,2022-07-22 20:17:06,16.7333,82.2167,78.42,87,100,7.94
199,Segovia,ES,2022-07-22 20:17:06,41.1667,-4.0,84.43,25,100,6.71
200,Surt,LY,2022-07-22 20:17:06,31.2089,16.5887,79.66,61,0,8.01
201,Comodoro Rivadavia,AR,2022-07-22 20:14:24,-45.8667,-67.5,40.86,42,0,10.36
202,Kilindoni,TZ,2022-07-22 20:17:07,-7.9139,39.6668,75.49,75,0,16.08
203,Berlevag,NO,2022-07-22 20:17:08,70.8578,29.0864,55.2,82,75,19.57
204,San Andres,CO,2022-07-22 20:17:08,12.5847,-81.7006,84.22,84,75,5.75
205,Athens,GR,2022-07-22 20:14:15,37.9795,23.7162,88.25,40,0,4.0
206,Coquimbo,CL,2022-07-22 20:17:09,-29.9533,-71.3436,55.13,87,100,2.3
207,Kankan,GN,2022-07-22 20:17:09,10.3854,-9.3057,73.92,91,100,1.63
208,Vysokovsk,RU,2022-07-22 20:17:09,56.3167,36.55,60.44,80,3,3.04
209,Ostrovnoy,RU,2022-07-22 20:17:10,68.0531,39.5131,51.69,92,100,17.07
210,Khorixas,NA,2022-07-22 20:17:10,-20.3667,14.9667,68.43,30,2,3.09
211,Qandala,SO,2022-07-22 20:17:11,11.472,49.8728,88.27,56,33,4.38
212,Cockburn Town,TC,2022-07-22 20:17:12,21.4612,-71.1419,78.76,83,75,18.41
213,Male,MV,2022-07-22 20:14:42,4.1748,73.5089,82.35,75,99,17.6
214,Gamba,GA,2022-07-22 20:17:12,-2.65,10.0,69.21,84,38,8.23
215,Ladispoli,IT,2022-07-22 20:17:12,41.9537,12.0735,86.45,77,0,4.45
216,Ploemeur,FR,2022-07-22 20:17:13,47.7333,-3.4333,69.82,61,0,5.75
217,Bradford,GB,2022-07-22 20:16:14,53.7939,-1.7521,62.62,89,40,4.61
218,Safranbolu,TR,2022-07-22 20:17:13,41.2508,32.6942,59.41,73,0,1.77
219,Digby,CA,2022-07-22 20:17:13,44.6169,-65.7655,88.75,72,49,12.19
220,Harwich,GB,2022-07-22 20:17:14,51.9419,1.2844,63.36,74,38,8.01
221,Dingle,PH,2022-07-22 20:12:30,10.9995,122.6711,76.32,92,86,4.74
222,Pitimbu,BR,2022-07-22 20:16:55,-7.4706,-34.8086,75.79,78,82,14.92
223,Teya,RU,2022-07-22 20:17:14,60.3778,92.6267,55.69,98,98,3.89
224,Takoradi,GH,2022-07-22 20:17:14,4.8845,-1.7554,75.13,78,77,8.81
225,Makhinjauri,GE,2022-07-22 20:17:15,41.6739,41.694,66.06,82,75,13.8
226,Troitsk,RU,2022-07-22 20:17:15,54.0979,61.5773,59.58,82,9,7.23
227,Tabou,CI,2022-07-22 20:17:15,4.423,-7.3528,75.88,69,76,8.08
228,Manica,FR,2022-07-22 20:17:16,49.0,-1.1667,60.76,90,24,7.16
229,Mana,GF,2022-07-22 20:17:16,5.6592,-53.7767,81.86,75,30,7.72
230,Alliance,US,2022-07-22 20:17:16,40.9153,-81.1059,89.82,50,76,11.72
231,Nuuk,GL,2022-07-22 20:17:17,64.1835,-51.7216,45.21,87,20,11.5
232,Trapani,IT,2022-07-22 20:17:17,37.8333,12.6667,82.27,78,0,5.75
233,Syzran,RU,2022-07-22 20:17:17,53.1585,48.4681,62.44,93,100,6.13
234,Rimouski,CA,2022-07-22 20:16:02,48.4488,-68.524,77.18,59,0,13.44
235,Sinop,TR,2022-07-22 20:17:18,41.7711,34.8709,59.54,69,2,4.97
236,Bandarbeyla,SO,2022-07-22 20:17:18,9.4942,50.8122,77.34,80,59,32.48
237,Kilis,TR,2022-07-22 20:17:19,36.7161,37.115,82.63,34,0,5.7
238,Huaquillas,EC,2022-07-22 20:17:19,-3.4833,-80.2333,73.63,78,100,8.05
239,Luau,AO,2022-07-22 20:17:19,-10.7073,22.2247,72.14,29,100,4.05
240,Sept-Iles,CA,2022-07-22 20:17:20,50.2001,-66.3821,67.05,89,75,3.44
241,Prattville,US,2022-07-22 20:13:01,32.464,-86.4597,88.5,60,0,5.75
242,Ugoofaaru,MV,2022-07-22 20:17:21,5.6667,73.0,81.88,77,100,16.13
243,Montlucon,FR,2022-07-22 20:17:21,46.3333,2.6,75.7,79,36,8.12
244,Puerto Leguizamo,CO,2022-07-22 20:17:21,-0.1934,-74.7819,87.24,51,61,1.01
245,Kutum,SD,2022-07-22 20:15:00,14.2,24.6667,84.13,32,5,7.61
246,Iqaluit,CA,2022-07-22 20:17:22,63.7506,-68.5145,53.33,71,75,3.44
247,Wajid,SO,2022-07-22 20:17:22,3.8093,43.2471,76.6,57,87,18.59
248,Ajaccio,FR,2022-07-22 20:17:22,42.0,8.9167,77.05,74,0,2.3
249,Baghdad,IQ,2022-07-22 20:15:38,33.3406,44.4009,93.11,18,0,10.36
250,Bhadravati,IN,2022-07-22 20:17:23,13.8667,75.7167,71.19,92,100,7.34
251,Bilma,NE,2022-07-22 20:17:23,18.6853,12.9164,95.18,23,56,3.51
252,Havoysund,NO,2022-07-22 20:17:23,70.9963,24.6622,52.03,89,70,20.98
253,Veinticinco De Mayo,AR,2022-07-22 20:17:24,-35.4323,-60.1727,61.99,59,44,4.0
254,Khuzdar,PK,2022-07-22 20:17:24,27.7384,66.6434,76.01,63,90,2.28
255,Kerman,IR,2022-07-22 20:17:24,30.2832,57.0788,80.46,14,0,0.0
256,Namibe,AO,2022-07-22 20:16:38,-15.1961,12.1522,62.42,88,10,3.22
257,Tabas,IR,2022-07-22 20:17:25,33.5959,56.9244,95.56,9,0,7.11
258,Igarka,RU,2022-07-22 20:17:25,67.4667,86.5833,57.38,78,56,9.73
259,Mabaruma,GY,2022-07-22 20:17:25,8.2,-59.7833,84.24,64,13,6.96
260,Northeim,DE,2022-07-22 20:17:26,51.7,10.0,65.37,82,93,5.06
261,La Sarre,CA,2022-07-22 20:17:26,48.8002,-79.1996,72.73,61,64,8.84
262,Tarauaca,BR,2022-07-22 20:17:27,-8.1614,-70.7656,92.35,40,76,2.01
263,Bushehr,IR,2022-07-22 20:17:27,28.9684,50.8385,89.69,74,2,6.91
264,Dalton,US,2022-07-22 20:15:22,34.7698,-84.9702,94.82,63,61,1.99
265,Traverse City,US,2022-07-22 20:13:23,44.7631,-85.6206,93.27,28,40,17.27
266,Suleja,NG,2022-07-22 20:17:28,9.1758,7.1808,71.94,95,99,0.38
267,Andenes,NO,2022-07-22 20:17:29,69.3143,16.1194,52.93,93,75,20.71
268,Logansport,US,2022-07-22 20:13:30,40.7545,-86.3567,88.72,51,31,5.1
269,Barcelos,PT,2022-07-22 20:17:29,41.5388,-8.6151,73.69,61,0,6.33
270,Sidi Ali,DZ,2022-07-22 20:17:29,36.0998,0.4206,76.68,73,0,5.26
271,Tapes,BR,2022-07-22 20:17:31,-30.6733,-51.3958,64.83,95,100,3.13
272,Potiskum,NG,2022-07-22 20:17:31,11.7091,11.0694,79.2,74,70,5.53
273,Ajdabiya,LY,2022-07-22 20:17:32,30.7554,20.2263,78.89,70,0,17.38
274,Shu,KZ,2022-07-22 20:17:32,43.5983,73.7614,82.89,25,0,6.44
275,Entre Rios,BR,2022-07-22 20:17:32,-11.9419,-38.0844,72.27,71,100,6.35
276,Porto Novo,BJ,2022-07-22 20:13:12,6.4965,2.6036,75.99,83,100,7.83
277,Sakakah,SA,2022-07-22 20:17:33,29.9697,40.2064,96.37,15,1,13.91
278,Tyukhtet,RU,2022-07-22 20:17:33,56.5389,89.3011,55.63,89,65,8.34
279,Pilar,BR,2022-07-22 20:17:23,-9.5972,-35.9567,73.33,92,89,6.4
280,Jalu,LY,2022-07-22 20:17:31,29.0331,21.5482,82.15,42,0,15.23
